row_idx,agree,action,details
185,1,-0.7,{'actors': 3
186,1,-0.7,{'actors': 3
187,1,-0.7,{'actors': 3
188,1,-0.7,{'actors': 3
189,1,-0.7,{'actors': 3
190,1,-0.7,{'actors': 3
191,1,-0.7,{'actors': 3
192,1,-0.7,{'actors': 3
193,1,-0.7,{'actors': 3
194,1,-0.7,{'actors': 3
195,1,-0.7,{'actors': 3
196,1,-0.7,{'actors': 3
197,1,-0.7,{'actors': 3
198,1,-0.7,{'actors': 3
199,1,-0.7,{'actors': 3
